datetime,open,high,low,close,volume,ma5,ma20,signal,signal_change,position,equity,equity_curve,market_return,market_curve
2021-07-14,32729.12,33114.03,31550.0,32820.02,46777.823484,33279.656,33806.4505,0,0.0,0,366682.3621679545,3.666823621679545,0.002757428481776625,4.557798037731648
2021-07-15,32820.03,33185.25,31133.0,31880.0,51639.576353,32955.081999999995,33821.227999999996,0,0.0,0,366682.3621679545,3.666823621679545,-0.02864166444749261,4.427255115715498
2021-07-16,31874.49,32249.18,31020.0,31383.87,48499.864154,32380.058,33776.239,0,0.0,0,366682.3621679545,3.666823621679545,-0.015562421580928465,4.358356305158411
2021-07-17,31383.86,31955.92,31164.31,31520.07,34012.242132,32066.745999999996,33617.2255,0,0.0,0,366682.3621679545,3.666823621679545,0.004339808952815494,4.377270738871098
2021-07-18,31520.07,32435.0,31108.97,31778.56,35923.716186,31876.504000000004,33481.409,0,0.0,0,366682.3621679545,3.666823621679545,0.008200806660645155,4.413167889901879
2021-07-19,31778.57,31899.0,30407.44,30839.65,47340.468499,31480.43,33227.805,0,0.0,0,366682.3621679545,3.666823621679545,-0.02954539160994074,4.282779116354312
2021-07-20,30839.65,31063.07,29278.0,29790.35,61034.049017,31062.5,32965.072499999995,0,0.0,0,366682.3621679545,3.666823621679545,-0.034024380951145794,4.137060208169861
2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.265128,31214.628000000004,32897.063500000004,0,0.0,0,366682.3621679545,3.666823621679545,0.079024247784937,4.463988279161479
2021-07-22,32144.51,32591.35,31708.0,32287.83,46148.092433,31368.18,32822.1275,0,0.0,0,366682.3621679545,3.666823621679545,0.004458615172544311,4.483891485033008
2021-07-23,32287.58,33650.0,31924.32,33634.09,50112.863626,31739.286,32770.3755,0,0.0,0,366682.3621679545,3.666823621679545,0.04169558623171632,4.6708499691008605
2021-07-24,33634.1,34500.0,33401.14,34258.14,47977.550138,32422.983999999997,32718.957000000002,0,0.0,0,366682.3621679545,3.666823621679545,0.018554091994164246,4.757513349118497
2021-07-25,34261.51,35398.0,33851.12,35381.02,47852.928313,33541.118,32803.501,1,1.0,0,366682.3621679545,3.666823621679545,0.03277702759110679,4.913450495427613
2021-07-26,35381.02,40550.0,35205.78,37237.6,152452.512724,34559.736,32954.3805,1,0.0,1,385537.6910653214,3.855376910653214,0.05247389702162342,5.171278390745526
